statementID,Topic,TopicEN,statement,position,party
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,agree,SGP
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,disagree,SGP
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,SGP
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,agree,SGP
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,disagree,SGP
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,SGP
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,agree,SGP
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,disagree,SGP
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,disagree,SGP
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,disagree,SGP
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,disagree,SGP
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,agree,SGP
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,neutral,SGP
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",agree,SGP
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,disagree,SGP
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,disagree,SGP
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,agree,SGP
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,agree,SGP
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,agree,SGP
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,disagree,SGP
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,disagree,SGP
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,agree,SGP
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",disagree,SGP
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,agree,SGP
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,neutral,SGP
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,agree,SGP
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",disagree,SGP
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,disagree,SGP
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,agree,SGP
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,disagree,DENK
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,disagree,DENK
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,neutral,DENK
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,DENK
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,agree,DENK
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,disagree,DENK
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,DENK
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,agree,DENK
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,agree,DENK
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,agree,DENK
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,agree,DENK
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,agree,DENK
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,disagree,DENK
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,agree,DENK
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",agree,DENK
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,agree,DENK
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,agree,DENK
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,agree,DENK
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,disagree,DENK
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,disagree,DENK
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,disagree,DENK
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,disagree,DENK
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,disagree,DENK
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",disagree,DENK
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,disagree,DENK
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,agree,DENK
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,disagree,DENK
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",agree,DENK
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,agree,DENK
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,agree,DENK
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,disagree,Forum voor Democratie
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,agree,Forum voor Democratie
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,disagree,Forum voor Democratie
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,agree,Forum voor Democratie
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,disagree,Forum voor Democratie
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,agree,Forum voor Democratie
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,Forum voor Democratie
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,agree,Forum voor Democratie
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,disagree,Forum voor Democratie
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,disagree,Forum voor Democratie
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,disagree,Forum voor Democratie
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,disagree,Forum voor Democratie
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,agree,Forum voor Democratie
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,disagree,Forum voor Democratie
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",agree,Forum voor Democratie
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,disagree,Forum voor Democratie
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,agree,Forum voor Democratie
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,disagree,Forum voor Democratie
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,agree,Forum voor Democratie
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,disagree,Forum voor Democratie
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,agree,Forum voor Democratie
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,agree,Forum voor Democratie
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,agree,Forum voor Democratie
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",disagree,Forum voor Democratie
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,agree,Forum voor Democratie
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,disagree,Forum voor Democratie
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,agree,Forum voor Democratie
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",disagree,Forum voor Democratie
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,disagree,Forum voor Democratie
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,agree,Forum voor Democratie
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,disagree,Code Oranje
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,agree,Code Oranje
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,agree,Code Oranje
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,neutral,Code Oranje
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,disagree,Code Oranje
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,agree,Code Oranje
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,Code Oranje
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,agree,Code Oranje
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,agree,Code Oranje
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,disagree,Code Oranje
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,disagree,Code Oranje
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,agree,Code Oranje
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,agree,Code Oranje
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,disagree,Code Oranje
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",disagree,Code Oranje
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,disagree,Code Oranje
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,agree,Code Oranje
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,agree,Code Oranje
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,disagree,Code Oranje
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,disagree,Code Oranje
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,agree,Code Oranje
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,agree,Code Oranje
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,disagree,Code Oranje
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",agree,Code Oranje
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,agree,Code Oranje
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,agree,Code Oranje
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,agree,Code Oranje
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",disagree,Code Oranje
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,disagree,Code Oranje
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,agree,Code Oranje
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,disagree,NIDA
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,disagree,NIDA
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,agree,NIDA
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,NIDA
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,agree,NIDA
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,disagree,NIDA
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,NIDA
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,disagree,NIDA
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,agree,NIDA
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,agree,NIDA
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,disagree,NIDA
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,agree,NIDA
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,neutral,NIDA
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,disagree,NIDA
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",agree,NIDA
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,agree,NIDA
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,disagree,NIDA
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,agree,NIDA
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,disagree,NIDA
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,disagree,NIDA
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,disagree,NIDA
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,disagree,NIDA
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,disagree,NIDA
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",disagree,NIDA
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,disagree,NIDA
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,agree,NIDA
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,disagree,NIDA
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",agree,NIDA
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,agree,NIDA
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,agree,NIDA
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,disagree,Piratenpartij
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,disagree,Piratenpartij
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,agree,Piratenpartij
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,Piratenpartij
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,disagree,Piratenpartij
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,agree,Piratenpartij
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,Piratenpartij
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,disagree,Piratenpartij
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,agree,Piratenpartij
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,agree,Piratenpartij
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,disagree,Piratenpartij
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,agree,Piratenpartij
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,neutral,Piratenpartij
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,agree,Piratenpartij
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",agree,Piratenpartij
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,agree,Piratenpartij
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,agree,Piratenpartij
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,agree,Piratenpartij
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,disagree,Piratenpartij
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,agree,Piratenpartij
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,disagree,Piratenpartij
