partyID,party,party,position,statementID,statement_title,statement
23,Die Humanisten,Partei der Humanisten,neutral,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
24,du.,Die Urbane. Eine HipHop Partei,agree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
25,SGP,"Sozialistische Gleichheitspartei, Vierte Internationale",agree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
26,dieBasis,Basisdemokratische Partei Deutschland,neutral,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
27,Bündnis C,Bündnis C - Christen für Deutschland,agree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
28,BÜRGERBEWEGUNG,Bürgerbewegung für Fortschritt und Wandel,neutral,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
29,III. Weg,DER DRITTE WEG,neutral,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
30,BÜNDNIS21,diePinken/BÜNDNIS21,disagree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
31,LIEBE,Europäische Partei LIEBE,agree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
32,LKR,Liberal-Konservative Reformer,disagree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
33,PdF,Partei des Fortschritts,disagree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
34,LfK,">> Partei für Kinder, Jugendliche und Familien ",agree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
35,SSW,Südschleswigscher Wählerverband,agree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
36,Team Todenhöfer,Team Todenhöfer – Die Gerechtigkeitspartei,disagree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
37,UNABHÄNGIGE,UNABHÄNGIGE für bürgernahe Demokratie,disagree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
38,Volt,Volt Deutschland,agree,1,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,agree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
2,SPD,Sozialdemokratische Partei Deutschlands,agree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
3,AfD,Alternative für Deutschland,agree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
4,FDP,Freie Demokratische Partei,agree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
5,DIE LINKE,DIE LINKE,disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
7,FREIE WÄHLER,FREIE WÄHLER,agree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
8,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
9,Tierschutzpartei,PARTEI MENSCH UMWELT TIERSCHUTZ,disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
10,NPD,Nationaldemokratische Partei Deutschlands,agree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
11,PIRATEN,Piratenpartei Deutschland,disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
12,ÖDP,Ökologisch-Demokratische Partei,disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
13,V-Partei³,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
14,DiB,DEMOKRATIE IN BEWEGUNG,disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
15,BP,Bayernpartei,agree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
16,Tierschutzallianz,"Allianz für Menschenrechte, Tier- und Naturschutz",disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
17,MLPD,Marxistisch-Leninistische Partei Deutschlands,disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
18,Gesundheitsforschung,Partei für Gesundheitsforschung,neutral,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
19,MENSCHLICHE WELT,Menschliche Welt - für das Wohl und Glücklichsein aller,disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
20,DKP,Deutsche Kommunistische Partei,disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
21,Die Grauen,Die Grauen – Für alle Generationen,neutral,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
22,BüSo,Bürgerrechtsbewegung Solidarität,disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
23,Die Humanisten,Partei der Humanisten,disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
24,du.,Die Urbane. Eine HipHop Partei,disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
25,SGP,"Sozialistische Gleichheitspartei, Vierte Internationale",disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
26,dieBasis,Basisdemokratische Partei Deutschland,disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
27,Bündnis C,Bündnis C - Christen für Deutschland,agree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
28,BÜRGERBEWEGUNG,Bürgerbewegung für Fortschritt und Wandel,neutral,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
29,III. Weg,DER DRITTE WEG,agree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
30,BÜNDNIS21,diePinken/BÜNDNIS21,disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
31,LIEBE,Europäische Partei LIEBE,agree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
32,LKR,Liberal-Konservative Reformer,agree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
33,PdF,Partei des Fortschritts,agree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
34,LfK,">> Partei für Kinder, Jugendliche und Familien ",disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
35,SSW,Südschleswigscher Wählerverband,neutral,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
36,Team Todenhöfer,Team Todenhöfer – Die Gerechtigkeitspartei,disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
37,UNABHÄNGIGE,UNABHÄNGIGE für bürgernahe Demokratie,neutral,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
38,Volt,Volt Deutschland,disagree,2,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,disagree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
2,SPD,Sozialdemokratische Partei Deutschlands,agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
3,AfD,Alternative für Deutschland,disagree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
4,FDP,Freie Demokratische Partei,agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
5,DIE LINKE,DIE LINKE,agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
7,FREIE WÄHLER,FREIE WÄHLER,disagree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
8,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
9,Tierschutzpartei,PARTEI MENSCH UMWELT TIERSCHUTZ,agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
10,NPD,Nationaldemokratische Partei Deutschlands,disagree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
11,PIRATEN,Piratenpartei Deutschland,agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
12,ÖDP,Ökologisch-Demokratische Partei,agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
13,V-Partei³,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
14,DiB,DEMOKRATIE IN BEWEGUNG,agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
15,BP,Bayernpartei,disagree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
16,Tierschutzallianz,"Allianz für Menschenrechte, Tier- und Naturschutz",agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
17,MLPD,Marxistisch-Leninistische Partei Deutschlands,agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
18,Gesundheitsforschung,Partei für Gesundheitsforschung,neutral,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
19,MENSCHLICHE WELT,Menschliche Welt - für das Wohl und Glücklichsein aller,neutral,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
20,DKP,Deutsche Kommunistische Partei,agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
21,Die Grauen,Die Grauen – Für alle Generationen,disagree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
22,BüSo,Bürgerrechtsbewegung Solidarität,disagree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
23,Die Humanisten,Partei der Humanisten,agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
24,du.,Die Urbane. Eine HipHop Partei,agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
25,SGP,"Sozialistische Gleichheitspartei, Vierte Internationale",agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
26,dieBasis,Basisdemokratische Partei Deutschland,disagree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
27,Bündnis C,Bündnis C - Christen für Deutschland,disagree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
28,BÜRGERBEWEGUNG,Bürgerbewegung für Fortschritt und Wandel,disagree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
29,III. Weg,DER DRITTE WEG,disagree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
30,BÜNDNIS21,diePinken/BÜNDNIS21,disagree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
31,LIEBE,Europäische Partei LIEBE,agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
32,LKR,Liberal-Konservative Reformer,disagree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
33,PdF,Partei des Fortschritts,neutral,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
34,LfK,">> Partei für Kinder, Jugendliche und Familien ",agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
35,SSW,Südschleswigscher Wählerverband,agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
36,Team Todenhöfer,Team Todenhöfer – Die Gerechtigkeitspartei,neutral,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
37,UNABHÄNGIGE,UNABHÄNGIGE für bürgernahe Demokratie,neutral,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
38,Volt,Volt Deutschland,agree,3,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
2,SPD,Sozialdemokratische Partei Deutschlands,disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
3,AfD,Alternative für Deutschland,agree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
4,FDP,Freie Demokratische Partei,neutral,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
5,DIE LINKE,DIE LINKE,disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
7,FREIE WÄHLER,FREIE WÄHLER,disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
8,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
9,Tierschutzpartei,PARTEI MENSCH UMWELT TIERSCHUTZ,disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
10,NPD,Nationaldemokratische Partei Deutschlands,agree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
11,PIRATEN,Piratenpartei Deutschland,disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
12,ÖDP,Ökologisch-Demokratische Partei,disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
13,V-Partei³,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
14,DiB,DEMOKRATIE IN BEWEGUNG,disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
15,BP,Bayernpartei,neutral,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
16,Tierschutzallianz,"Allianz für Menschenrechte, Tier- und Naturschutz",disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
17,MLPD,Marxistisch-Leninistische Partei Deutschlands,disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
18,Gesundheitsforschung,Partei für Gesundheitsforschung,neutral,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
19,MENSCHLICHE WELT,Menschliche Welt - für das Wohl und Glücklichsein aller,agree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
20,DKP,Deutsche Kommunistische Partei,disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
21,Die Grauen,Die Grauen – Für alle Generationen,neutral,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
22,BüSo,Bürgerrechtsbewegung Solidarität,agree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
23,Die Humanisten,Partei der Humanisten,disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
24,du.,Die Urbane. Eine HipHop Partei,disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
25,SGP,"Sozialistische Gleichheitspartei, Vierte Internationale",disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
26,dieBasis,Basisdemokratische Partei Deutschland,neutral,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
27,Bündnis C,Bündnis C - Christen für Deutschland,agree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
28,BÜRGERBEWEGUNG,Bürgerbewegung für Fortschritt und Wandel,disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
29,III. Weg,DER DRITTE WEG,agree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
30,BÜNDNIS21,diePinken/BÜNDNIS21,agree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
31,LIEBE,Europäische Partei LIEBE,agree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
32,LKR,Liberal-Konservative Reformer,agree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
33,PdF,Partei des Fortschritts,disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
34,LfK,">> Partei für Kinder, Jugendliche und Familien ",neutral,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
35,SSW,Südschleswigscher Wählerverband,disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
36,Team Todenhöfer,Team Todenhöfer – Die Gerechtigkeitspartei,disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
37,UNABHÄNGIGE,UNABHÄNGIGE für bürgernahe Demokratie,agree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
38,Volt,Volt Deutschland,disagree,4,Windenergie,Die Förderung von Windenergie soll beendet werden.
1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,neutral,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
2,SPD,Sozialdemokratische Partei Deutschlands,agree,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
3,AfD,Alternative für Deutschland,disagree,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
4,FDP,Freie Demokratische Partei,disagree,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
5,DIE LINKE,DIE LINKE,agree,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,agree,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
7,FREIE WÄHLER,FREIE WÄHLER,disagree,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
8,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",agree,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
9,Tierschutzpartei,PARTEI MENSCH UMWELT TIERSCHUTZ,agree,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
10,NPD,Nationaldemokratische Partei Deutschlands,neutral,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
11,PIRATEN,Piratenpartei Deutschland,agree,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
12,ÖDP,Ökologisch-Demokratische Partei,agree,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
13,V-Partei³,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",agree,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
14,DiB,DEMOKRATIE IN BEWEGUNG,agree,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
15,BP,Bayernpartei,disagree,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
16,Tierschutzallianz,"Allianz für Menschenrechte, Tier- und Naturschutz",agree,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
17,MLPD,Marxistisch-Leninistische Partei Deutschlands,agree,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
18,Gesundheitsforschung,Partei für Gesundheitsforschung,neutral,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
19,MENSCHLICHE WELT,Menschliche Welt - für das Wohl und Glücklichsein aller,agree,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
20,DKP,Deutsche Kommunistische Partei,agree,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
21,Die Grauen,Die Grauen – Für alle Generationen,agree,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
22,BüSo,Bürgerrechtsbewegung Solidarität,agree,5,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
