statementID,statement,position,party
6,El Estado debe tomar medidas para redistribuir la riqueza de los ricos a los pobres,agree,PSOE
6,El Estado debe tomar medidas para redistribuir la riqueza de los ricos a los pobres,agree,Sumar
6,El Estado debe tomar medidas para redistribuir la riqueza de los ricos a los pobres,disagree,Vox
6,El Estado debe tomar medidas para redistribuir la riqueza de los ricos a los pobres,disagree,PP
6,El Estado debe tomar medidas para redistribuir la riqueza de los ricos a los pobres,neither agree nor disagree,Junts
7,El Gobierno debe aumentar el gasto en el sistema sanitario público aunque esto suponga incrementar los impuestos,completely agree,CUP
7,El Gobierno debe aumentar el gasto en el sistema sanitario público aunque esto suponga incrementar los impuestos,agree,ERC
7,El Gobierno debe aumentar el gasto en el sistema sanitario público aunque esto suponga incrementar los impuestos,agree,PSOE
7,El Gobierno debe aumentar el gasto en el sistema sanitario público aunque esto suponga incrementar los impuestos,agree,Sumar
7,El Gobierno debe aumentar el gasto en el sistema sanitario público aunque esto suponga incrementar los impuestos,disagree,Vox
7,El Gobierno debe aumentar el gasto en el sistema sanitario público aunque esto suponga incrementar los impuestos,completely disagree,PP
7,El Gobierno debe aumentar el gasto en el sistema sanitario público aunque esto suponga incrementar los impuestos,neither agree nor disagree,Junts
8,Es necesario un impuesto permanente a las grandes fortunas y patrimonios.,completely agree,CUP
8,Es necesario un impuesto permanente a las grandes fortunas y patrimonios.,completely agree,Sumar
8,Es necesario un impuesto permanente a las grandes fortunas y patrimonios.,agree,ERC
8,Es necesario un impuesto permanente a las grandes fortunas y patrimonios.,completely disagree,Vox
8,Es necesario un impuesto permanente a las grandes fortunas y patrimonios.,completely disagree,PP
8,Es necesario un impuesto permanente a las grandes fortunas y patrimonios.,neither agree nor disagree,Junts
8,Es necesario un impuesto permanente a las grandes fortunas y patrimonios.,neither agree nor disagree,PSOE
9,Se debe reducir la jornada laboral sin reducir los salarios de los trabajadores,completely agree,CUP
9,Se debe reducir la jornada laboral sin reducir los salarios de los trabajadores,completely agree,Sumar
9,Se debe reducir la jornada laboral sin reducir los salarios de los trabajadores,agree,ERC
9,Se debe reducir la jornada laboral sin reducir los salarios de los trabajadores,disagree,Vox
9,Se debe reducir la jornada laboral sin reducir los salarios de los trabajadores,disagree,Junts
9,Se debe reducir la jornada laboral sin reducir los salarios de los trabajadores,completely disagree,PP
9,Se debe reducir la jornada laboral sin reducir los salarios de los trabajadores,neither agree nor disagree,PSOE
10,Los gobiernos deberían intervenir lo menos posible en la economía,agree,PP
10,Los gobiernos deberían intervenir lo menos posible en la economía,disagree,ERC
10,Los gobiernos deberían intervenir lo menos posible en la economía,disagree,PSOE
10,Los gobiernos deberían intervenir lo menos posible en la economía,completely disagree,Sumar
10,Los gobiernos deberían intervenir lo menos posible en la economía,completely disagree,CUP
10,Los gobiernos deberían intervenir lo menos posible en la economía,neither agree nor disagree,Vox
10,Los gobiernos deberían intervenir lo menos posible en la economía,neither agree nor disagree,Junts
11,Hay que subir los impuestos a los combustibles fósiles para financiar la Transición ecológica.,completely agree,ERC
11,Hay que subir los impuestos a los combustibles fósiles para financiar la Transición ecológica.,completely agree,Sumar
11,Hay que subir los impuestos a los combustibles fósiles para financiar la Transición ecológica.,agree,CUP
11,Hay que subir los impuestos a los combustibles fósiles para financiar la Transición ecológica.,agree,Junts
11,Hay que subir los impuestos a los combustibles fósiles para financiar la Transición ecológica.,agree,PSOE
11,Hay que subir los impuestos a los combustibles fósiles para financiar la Transición ecológica.,disagree,PP
11,Hay que subir los impuestos a los combustibles fósiles para financiar la Transición ecológica.,completely disagree,Vox
12,El cambio climático es únicamente atribuible a la acción humana.,completely agree,ERC
12,El cambio climático es únicamente atribuible a la acción humana.,completely agree,Sumar
12,El cambio climático es únicamente atribuible a la acción humana.,completely agree,CUP
12,El cambio climático es únicamente atribuible a la acción humana.,agree,PSOE
12,El cambio climático es únicamente atribuible a la acción humana.,disagree,PP
12,El cambio climático es únicamente atribuible a la acción humana.,completely disagree,Vox
12,El cambio climático es únicamente atribuible a la acción humana.,neither agree nor disagree,Junts
13,El futuro gobierno español debería incrementar las zonas de regadío agrícola mediante grandes trasvases de agua.,completely agree,Vox
13,El futuro gobierno español debería incrementar las zonas de regadío agrícola mediante grandes trasvases de agua.,disagree,Junts
13,El futuro gobierno español debería incrementar las zonas de regadío agrícola mediante grandes trasvases de agua.,disagree,PSOE
13,El futuro gobierno español debería incrementar las zonas de regadío agrícola mediante grandes trasvases de agua.,completely disagree,ERC
13,El futuro gobierno español debería incrementar las zonas de regadío agrícola mediante grandes trasvases de agua.,completely disagree,CUP
13,El futuro gobierno español debería incrementar las zonas de regadío agrícola mediante grandes trasvases de agua.,completely disagree,Sumar
13,El futuro gobierno español debería incrementar las zonas de regadío agrícola mediante grandes trasvases de agua.,neither agree nor disagree,PP
14,Para defender mejor los intereses de España en Europa debemos recuperar más soberanía.,completely agree,Vox
14,Para defender mejor los intereses de España en Europa debemos recuperar más soberanía.,disagree,Sumar
14,Para defender mejor los intereses de España en Europa debemos recuperar más soberanía.,disagree,PSOE
14,Para defender mejor los intereses de España en Europa debemos recuperar más soberanía.,completely disagree,ERC
14,Para defender mejor los intereses de España en Europa debemos recuperar más soberanía.,completely disagree,CUP
14,Para defender mejor los intereses de España en Europa debemos recuperar más soberanía.,completely disagree,Junts
14,Para defender mejor los intereses de España en Europa debemos recuperar más soberanía.,neither agree nor disagree,PP
15,El gobierno español debe promover el fortalecimiento de la OTAN en Europa.,completely agree,Vox
15,El gobierno español debe promover el fortalecimiento de la OTAN en Europa.,completely agree,PP
15,El gobierno español debe promover el fortalecimiento de la OTAN en Europa.,agree,PSOE
15,El gobierno español debe promover el fortalecimiento de la OTAN en Europa.,disagree,ERC
15,El gobierno español debe promover el fortalecimiento de la OTAN en Europa.,disagree,Sumar
15,El gobierno español debe promover el fortalecimiento de la OTAN en Europa.,completely disagree,CUP
15,El gobierno español debe promover el fortalecimiento de la OTAN en Europa.,neither agree nor disagree,Junts
16,La mejor manera de solucionar el conflicto en Cataluña es que sus ciudadanos puedan votar sobre su futuro en un referéndum.,completely agree,ERC
16,La mejor manera de solucionar el conflicto en Cataluña es que sus ciudadanos puedan votar sobre su futuro en un referéndum.,completely agree,CUP
16,La mejor manera de solucionar el conflicto en Cataluña es que sus ciudadanos puedan votar sobre su futuro en un referéndum.,completely agree,Junts
16,La mejor manera de solucionar el conflicto en Cataluña es que sus ciudadanos puedan votar sobre su futuro en un referéndum.,completely disagree,Vox
16,La mejor manera de solucionar el conflicto en Cataluña es que sus ciudadanos puedan votar sobre su futuro en un referéndum.,completely disagree,PP
16,La mejor manera de solucionar el conflicto en Cataluña es que sus ciudadanos puedan votar sobre su futuro en un referéndum.,completely disagree,PSOE
16,La mejor manera de solucionar el conflicto en Cataluña es que sus ciudadanos puedan votar sobre su futuro en un referéndum.,neither agree nor disagree,Sumar
17,Negociar con los independentistas debilita al Estado.,completely agree,Vox
17,Negociar con los independentistas debilita al Estado.,completely agree,PP
17,Negociar con los independentistas debilita al Estado.,disagree,PSOE
17,Negociar con los independentistas debilita al Estado.,completely disagree,ERC
17,Negociar con los independentistas debilita al Estado.,completely disagree,CUP
17,Negociar con los independentistas debilita al Estado.,completely disagree,Junts
17,Negociar con los independentistas debilita al Estado.,completely disagree,Sumar
18,Hay que profundizar en la descentralización territorial de España.,completely agree,ERC
18,Hay que profundizar en la descentralización territorial de España.,completely agree,CUP
18,Hay que profundizar en la descentralización territorial de España.,completely agree,Junts
18,Hay que profundizar en la descentralización territorial de España.,agree,Sumar
18,Hay que profundizar en la descentralización territorial de España.,agree,PSOE
18,Hay que profundizar en la descentralización territorial de España.,disagree,PP
18,Hay que profundizar en la descentralización territorial de España.,completely disagree,Vox
19,El derecho de autodeterminación debe ser reconocido por la Constitución.,completely agree,ERC
19,El derecho de autodeterminación debe ser reconocido por la Constitución.,completely agree,CUP
19,El derecho de autodeterminación debe ser reconocido por la Constitución.,completely agree,Junts
19,El derecho de autodeterminación debe ser reconocido por la Constitución.,disagree,Sumar
19,El derecho de autodeterminación debe ser reconocido por la Constitución.,completely disagree,Vox
19,El derecho de autodeterminación debe ser reconocido por la Constitución.,completely disagree,PP
19,El derecho de autodeterminación debe ser reconocido por la Constitución.,completely disagree,PSOE
20,Las políticas de inmersión lingüística en la lengua propia de las Comunidades Autónomas bilingües ponen en peligro el español.,completely agree,Vox
20,Las políticas de inmersión lingüística en la lengua propia de las Comunidades Autónomas bilingües ponen en peligro el español.,agree,PP
20,Las políticas de inmersión lingüística en la lengua propia de las Comunidades Autónomas bilingües ponen en peligro el español.,disagree,PSOE
20,Las políticas de inmersión lingüística en la lengua propia de las Comunidades Autónomas bilingües ponen en peligro el español.,completely disagree,ERC
20,Las políticas de inmersión lingüística en la lengua propia de las Comunidades Autónomas bilingües ponen en peligro el español.,completely disagree,Junts
20,Las políticas de inmersión lingüística en la lengua propia de las Comunidades Autónomas bilingües ponen en peligro el español.,completely disagree,Sumar
20,Las políticas de inmersión lingüística en la lengua propia de las Comunidades Autónomas bilingües ponen en peligro el español.,completely disagree,CUP
21,Es necesario derogar la Ley de Memoria Democrática aprobada durante esta legislatura.,completely agree,Vox
21,Es necesario derogar la Ley de Memoria Democrática aprobada durante esta legislatura.,completely agree,PP
21,Es necesario derogar la Ley de Memoria Democrática aprobada durante esta legislatura.,completely disagree,ERC
21,Es necesario derogar la Ley de Memoria Democrática aprobada durante esta legislatura.,completely disagree,Junts
21,Es necesario derogar la Ley de Memoria Democrática aprobada durante esta legislatura.,completely disagree,Sumar
21,Es necesario derogar la Ley de Memoria Democrática aprobada durante esta legislatura.,completely disagree,CUP
21,Es necesario derogar la Ley de Memoria Democrática aprobada durante esta legislatura.,completely disagree,PSOE
22,España debería ser más tolerante con la inmigración ilegal.,completely agree,CUP
22,España debería ser más tolerante con la inmigración ilegal.,agree,ERC
22,España debería ser más tolerante con la inmigración ilegal.,agree,Sumar
22,España debería ser más tolerante con la inmigración ilegal.,disagree,PP
22,España debería ser más tolerante con la inmigración ilegal.,disagree,Junts
22,España debería ser más tolerante con la inmigración ilegal.,completely disagree,Vox
22,España debería ser más tolerante con la inmigración ilegal.,neither agree nor disagree,PSOE
23,Los inmigrantes deberían pagarse sus servicios sanitarios.,completely agree,Vox
23,Los inmigrantes deberían pagarse sus servicios sanitarios.,disagree,PSOE
23,Los inmigrantes deberían pagarse sus servicios sanitarios.,completely disagree,ERC
23,Los inmigrantes deberían pagarse sus servicios sanitarios.,completely disagree,Junts
23,Los inmigrantes deberían pagarse sus servicios sanitarios.,completely disagree,Sumar
23,Los inmigrantes deberían pagarse sus servicios sanitarios.,completely disagree,CUP
23,Los inmigrantes deberían pagarse sus servicios sanitarios.,neither agree nor disagree,PP
24,Se deben regular los precios de la vivienda para garantizar el acceso a todas las personas.,completely agree,Vox
24,Se deben regular los precios de la vivienda para garantizar el acceso a todas las personas.,disagree,PSOE
24,Se deben regular los precios de la vivienda para garantizar el acceso a todas las personas.,completely disagree,ERC
24,Se deben regular los precios de la vivienda para garantizar el acceso a todas las personas.,completely disagree,Junts
24,Se deben regular los precios de la vivienda para garantizar el acceso a todas las personas.,completely disagree,Sumar
24,Se deben regular los precios de la vivienda para garantizar el acceso a todas las personas.,completely disagree,CUP
24,Se deben regular los precios de la vivienda para garantizar el acceso a todas las personas.,neither agree nor disagree,PP
